x,y
0.5300000000000002,0.15000000000000036
0.535919289583394,0.1457785263793756
0.5528032880873002,0.13375447795741202
0.5793411901423045,0.11488841339398803
0.6142221903789928,0.09014089134897851
0.6561354834279509,0.06047247048225479
0.7037702639197647,0.026843709453695297
0.7558157264850203,-0.0097848330768322
0.8109610657543045,-0.048452598449445716
0.8678954763582021,-0.08819902800427393
0.9253081529273004,-0.1280635630814455
0.9818882900921833,-0.16708564502108025
1.036325550838216,-0.20430509137182362
1.0876967327158553,-0.23907268762248712
1.1361668162584095,-0.27161330814780626
1.1820905705953884,-0.3023042760422978
1.225822764856305,-0.33152291440046966
1.2677181681706728,-0.359646546316835
1.3081315496680035,-0.3870524948859053
1.3474176784778087,-0.41411808320219556
1.3859313237296007,-0.44122063436021897
1.4240272545528936,-0.4687374714544834
1.462060240077197,-0.49704591757950567
1.5003850494320248,-0.5265232958297972
1.5393558125117237,-0.5575452484733212
1.579239334573288,-0.5902578034249633
1.6201271732748919,-0.6243461866398174
1.662089939816834,-0.6594405467486428
1.705198245399417,-0.6951710323821967
1.7495227012229422,-0.7311677921712469
1.795133918487711,-0.7670609747465473
1.8421025083940266,-0.802480728738864
1.8904990821421879,-0.837057202778956
1.9403942509324978,-0.870420545497586
1.9918586259652566,-0.9022009055255094
2.044962818440769,-0.9320284314934977
2.099774781787579,-0.9595349405006992
2.156227263269613,-0.9844371279704145
2.21405631377889,-1.0065751693348588
2.2729824840825645,-1.0257989705339199
2.332726324947789,-1.0419584375074837
2.393008387141722,-1.05490347619544
2.453549221431515,-1.0644839925376726
2.5140693785843244,-1.0705498924740748
2.5742894093673043,-1.072951081944531
2.633929864547611,-1.0715374668889304
2.692711294892398,-1.0661589532471591
2.7503542511688193,-1.0566654469591015
2.8065870626996063,-1.0429173581330833
2.8613386755344057,-1.0250460098853988
2.9147515104021378,-1.0034710017307482
2.9669783412891992,-0.9786259142320102
3.0181719421819895,-0.9509443279520635
3.0684850870669034,-0.9208598234537906
3.1180705499303394,-0.8888059813000613
3.167081104758694,-0.855216382053765
3.2156695255383645,-0.8205246062777718
3.2639885862557496,-0.7851642345349674
3.3121910608972427,-0.7495688473882254
3.360429723449245,-0.714172025400428
3.408852895985065,-0.679393012733895
3.4575410141033074,-0.6454324401873883
3.506521595613037,-0.612320528533024
3.5558207584993817,-0.5800829907198359
3.605464620747473,-0.5487455396968439
3.65547930034244,-0.518333888413073
3.705890915269412,-0.4888737498175537
3.75672558351352,-0.46039083685930926
3.8080094230598918,-0.43291086248736477
3.859768551893658,-0.40645953965074355
3.9120290879999478,-0.3810625812984707
3.9648171493638924,-0.3567457003795784
4.018163372968788,-0.3335439261749453
4.072142790435928,-0.31158381160964943
4.126855631320387,-0.2910438574752181
4.182402414393117,-0.272103160808415
4.238883658425085,-0.25494081864600737
4.29639988218724,-0.23973592802475885
4.3550516044505425,-0.22666758598143666
4.414939343985946,-0.2159148895528027
4.47616361956441,-0.20765693577562594
4.538824949956892,-0.20207282168667007
4.6030238539343475,-0.1993416443227023
4.668860850267734,-0.19964250072048806
4.736385463144684,-0.20310014441418467
4.805308204762884,-0.20947805333266523
4.875201290010041,-0.21839232582572876
4.9456365258172,-0.22945862549516605
5.016185719115404,-0.24229261594275897
5.086420676835692,-0.2565099607703001
5.155913205909108,-0.2717263235795677
5.224235113266694,-0.28755736797235265
5.290958205839496,-0.3036187575504403
5.3556542905585545,-0.3195261559156144
5.417895174354907,-0.33489522666966387
5.477252664159602,-0.3493416334143742
5.533437810682999,-0.3625516453033768
5.586804292082498,-0.3745373849377831
5.637891050363875,-0.3854049156054309
5.68723704493839,-0.39526030941985546
5.735381235217295,-0.4042096384945957
5.7828625806118445,-0.4123589749431815
5.830220040533295,-0.41981439087915184
5.877992574392897,-0.42668195841604195
5.926719141601906,-0.4330677496673836
5.97693870157158,-0.4390778367467174
6.02919021371317,-0.44481829176757337
6.084012575823042,-0.4503951562440651
6.141736981904229,-0.4558113210421251
6.202023331735996,-0.460736296335881
6.264396157184839,-0.46477236537153566
6.3283799901172575,-0.4675218113952937
6.3934993623997425,-0.4685869176533526
6.459278805898789,-0.46756996739190804
6.525242852480892,-0.4640732438571664
6.590916034012549,-0.45769903029532877
6.655822882360258,-0.448049609952589
6.7194879293905085,-0.43472726607515355
6.7814357069698,-0.41733428190921806
6.84119162817937,-0.39547387274439494
6.898492721559597,-0.36897307535659074
6.953560959139127,-0.3381718416591788
7.006685959947097,-0.30348167246020985
7.05815734301266,-0.2653140685677222
7.108264727364956,-0.2240805307897613
7.157297732033133,-0.18019255993437433
7.205545976046331,-0.1340616568096049
7.253299078433701,-0.0860993222234967
7.300846658224387,-0.03671705698409511
7.348478334447531,0.013673638100556218
7.39648372613228,0.06466126222240831
7.445149413460948,0.11583721321095375
7.4945440054024886,0.16700080313903953
7.544375993052853,0.2182948464802994
7.5943201331268355,0.2698943356194885
7.644051182339236,0.3219742629413691
7.693243897404852,0.37470962083070347
7.7415730350384795,0.42827540167224853
7.7887133519549145,0.48284659785076656
7.834339604868958,0.5385982017510127
7.878126550495407,0.595705205757751
7.919748945549053,0.6543426022557401
7.958881546744699,0.7146853836297424
7.99520960577258,0.7769024618708684
8.028765097215182,0.8409618707801183
8.059997851158542,0.9065895544114397
8.089382574667523,0.9734970440338344
8.117393974806973,1.0413958709163058
8.144506758641752,1.1099975663278645
8.171195633236717,1.1790136615375069
8.197935305656722,1.2481556878142452
8.225200482966628,1.3171351764270813
8.253465872231288,1.3856636586450186
8.283206180515556,1.4534526657370588
